x,porepressure
0.0,993078.02038155
0.48275862068966,993073.47059915
0.96551724137931,993068.92081675
1.448275862069,993064.73610792
1.9310344827586,993059.59531257
2.4137931034483,993048.25229005
2.8965517241379,993037.44549262
3.3793103448276,993025.16242888
3.8620689655172,993006.88009557
4.3448275862069,992987.55919104
4.8275862068966,992963.3064966
5.3103448275862,992934.72398292
5.7931034482759,992904.68493439
6.2758620689655,992864.58321242
6.7586206896552,992823.10704359
7.2413793103448,992771.79505139
7.7241379310345,992713.7888343
8.2068965517241,992646.82174711
8.6896551724138,992566.35407402
9.1724137931034,992473.05325943
9.6551724137931,992364.97942909
10.137931034483,992238.15100673
10.620689655172,992092.80526299
11.103448275862,991909.05190682
11.586206896552,991684.78556019
12.068965517241,991407.98053296
12.551724137931,991054.08052009
13.034482758621,990584.66296169
13.51724137931,989930.21702614
14.0,988928.70045505
16.0,990289.1974337
16.461538461538,991355.62107501
16.923076923077,992198.44494139
17.384615384615,992908.23042238
17.846153846154,993530.72204924
18.307692307692,994093.02001388
18.769230769231,994609.8527474
19.230769230769,995093.81746648
19.692307692308,995552.22884233
20.153846153846,995987.89825501
20.615384615385,996408.07677872
21.076923076923,996813.37195992
21.538461538462,997208.74099504
22.0,997595.10385543
22.461538461538,997974.32853536
22.923076923077,998348.04651434
23.384615384615,998717.56695191
23.846153846154,999083.76573636
24.307692307692,999447.50470717
24.769230769231,999809.59318616
25.230769230769,1000171.3872814
25.692307692308,1000533.6310616
26.153846153846,1000897.0137292
26.615384615385,1001263.4446743
27.076923076923,1001632.5134953
27.538461538462,1002006.1477832
28.0,1002386.5993854
28.461538461538,1002772.027338
28.923076923077,1003168.4490957
29.384615384615,1003576.1415235
29.846153846154,1003993.3856272
30.307692307692,1004428.3928364
30.769230769231,1004887.3361978
31.230769230769,1005371.7622826
31.692307692308,1005888.2782016
32.153846153846,1006449.1485821
32.615384615385,1007073.2404933
33.076923076923,1007781.3591717
33.538461538462,1008624.7403295
34.0,1009691.077341
36.0,1011052.0864737
36.48275862069,1010050.3806837
36.965517241379,1009395.8584695
37.448275862069,1008926.8685661
37.931034482759,1008570.1911552
38.413793103448,1008297.0625018
38.896551724138,1008074.2524543
39.379310344828,1007894.7234846
39.862068965517,1007742.5710656
40.344827586207,1007613.5750525
40.827586206897,1007509.278415
41.310344827586,1007411.1700012
41.793103448276,1007336.0773481
42.275862068966,1007264.2131469
42.758620689655,1007210.3122132
43.241379310345,1007156.9903676
43.724137931034,1007116.5991207
44.206896551724,1007079.8802679
44.689655172414,1007045.6413873
45.172413793103,1007020.5676908
45.655172413793,1006995.2985835
46.137931034483,1006974.0177416
46.620689655172,1006954.9405826
47.103448275862,1006940.5861083
47.586206896552,1006932.048122
48.068965517241,1006923.5101358
48.551724137931,1006916.2045051
49.034482758621,1006911.9308563
49.51724137931,1006907.6572074
50.0,1006903.3835586
